YouTube Search interest: colbie caillat
United States; Jan 2008 - Jul 2015

Interest over time
Week,colbie caillat
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for colbie caillat
Town/City,colbie caillat
Honolulu,100
Salt Lake City,89
Pleasanton,71
Minneapolis,70
Sacramento,70
St. Louis,70
San Diego,66
Richardson,64
Seattle,63
Los Angeles,63
Portland,62
Denver,61
Indianapolis,61
San Francisco,61
Irvine,61



Top searches for colbie caillat
colbie caillat lyrics,100
jason mraz,65
colbie caillat lucky,65
lucky,60
lucky jason mraz,60
bubbly,55
bubbly colbie caillat,55
falling for you,40
realize,30
realize colbie caillat,30
i do,20
bubbly lyrics,20
colbie caillat try,15
try,15
fallin for you,15
the little things,10
you got me,10
realize lyrics,10
colbie caillat live,5
magic colbie caillat,5
sara bareilles,5
colbie caillat christmas,5
colbie caillat fearless,5
colbie caillat oxygen,5
colby caillat,5
colbie caillat battle,5
colbie calliat,5



Rising searches for colbie caillat
colbie caillat lucky,Breakout
colbie caillat try,Breakout
fallin for you,Breakout
falling for you,Breakout
i do,Breakout
jason mraz,Breakout
lucky,Breakout
lucky jason mraz,Breakout
try,Breakout
colbie caillat lyrics,+950%



