,id,artist,artist_standardized,featured,album,track,time,explicit,year,yearly_rank,source,ch,x40,x10,pk,high,date_entered,date_peaked,latency_to_peak,yearly_rank_percentile,yearly_rank_categorical,ch_categorical,song_x,slope_list,date,song_y,before,after,percent_change,raw_change,breakthrough_10year,breakthrough_5year,artist_underscore,b4,b3,b2,b1,a0,a1,a2,a3,a4,youtube_slope,x1st_week,train
3651,34130,Selena Gomez,Selena Gomez,& The Scene,s,Round & Round,185,0,2010,121,h,14,4,0,1,24,7/10/2010,7/10/2010 0:00,0,0.250517598,1,1,Round & Round,3.428571429,7/11/2010,Round & Round,124506,42702,0.342971423,-81804,0,0,selena_gomez,20,22,36,36,31,34,35,31,26,3.6,24,TRUE
3652,23963,Lee DeWyze,Lee DeWyze,,s,Beautiful Day,237,0,2010,122,h,2,1,0,1,24,6/12/2010,6/12/2010 0:00,0,0.252587992,1,0,Beautiful Day,6.857142857,6/13/2010,Beautiful Day,26082,18671,0.71585768,-7411,0,0,lee_dewyze,28,94,100,40,21,13,12,10,10,-6.8,24,TRUE
3655,11348,Drake,Drake,Featuring T.I. & Swizz Beatz,Thank Me Later,Fancy,319,1,2010,125,h,20,6,0,1,25,7/3/2010,10/2/2010 0:00,91,0.258799172,1,2,Fancy,1.142857143,3/23/2014,Fancy,19723,49929,2.531511433,30206,0,1,drake,50,53,53,55,55,51,48,46,42,1.2,99,TRUE
3656,11348,Drake,Drake,Featuring T.I. & Swizz Beatz,Thank Me Later,Fancy,319,1,2010,125,h,20,6,0,1,25,7/3/2010,10/2/2010 0:00,91,0.258799172,1,2,Fancy,-0.040816327,3/23/2014,Fancy,19723,49929,2.531511433,30206,0,1,drake,50,53,53,55,55,51,48,46,42,1.2,99,TRUE
3661,16211,Glee Cast,Glee Cast,,s,The Only Exception,266,0,2010,130,h,1,1,0,1,26,10/16/2010,10/16/2010 0:00,0,0.269151139,1,0,The Only Exception,-0.571428571,6/13/2010,The Only Exception,70766,45653,0.645126191,-25113,1,1,glee_cast,32,63,70,65,71,62,46,45,61,8,26,FALSE
3670,27292,Miranda Lambert,Miranda Lambert,,Revolution,The House That Built Me,236,0,2010,139,h,20,12,0,1,28,4/10/2010,6/5/2010 0:00,56,0.287784679,1,2,The House That Built Me,-1.285714286,4/11/2010,The House That Built Me,7582,8261,1.089554207,679,1,1,miranda_lambert,25,27,31,30,35,46,65,52,54,2.3,98,TRUE
3671,6879,Cali Swag District,Cali Swag District,,s,Teach Me How To Dougie,239,1,2010,140,h,20,7,0,1,28,6/12/2010,9/4/2010 0:00,84,0.289855072,1,2,Teach Me How To Dougie,-1.428571429,6/13/2010,Teach Me How To Dougie,1,85,85,84,0,0,cali_swag_district,0,4,7,10,11,15,22,28,25,2.8,91,TRUE
3672,19734,Jamie Foxx,Jamie Foxx,Featuring Justin Timberlake & T.I.,s,Winner,243,1,2010,141,h,11,6,0,1,28,4/24/2010,4/24/2010 0:00,0,0.291925466,1,1,Winner,3.285714286,4/25/2010,Winner,35009,33301,0.951212545,-1708,0,1,jamie_foxx,29,30,32,34,36,41,41,43,41,1.8,28,TRUE
3673,16214,Glee Cast,Glee Cast,,s,Billionaire,211,0,2010,142,h,1,1,0,1,28,10/9/2010,10/9/2010 0:00,0,0.293995859,1,0,Billionaire,-3,4/18/2010,Billionaire,8,2348,293.5,2340,0,1,glee_cast,37,32,63,70,65,71,62,46,45,9.4,28,TRUE
3674,20316,Jerrod Niemann,Jerrod Niemann,,She Wolf (Deluxe Version),"Lover, Lover",194,0,2010,143,h,20,6,0,2,29,5/15/2010,8/7/2010 0:00,84,0.296066253,1,2,"Lover, Lover",-2,5/16/2010,"Lover, Lover",775,1559,2.011612903,784,0,1,jerrod_niemann,5,6,7,9,8,14,19,12,21,0.9,89,TRUE
