artist_name,artist_name_clean,artist_name_underscore,artist_name_query,artist_name_dash
Hugh Laurie,Hugh Laurie,hugh_laurie,hugh+laurie,hugh-laurie
Ace Hood,Ace Hood,ace_hood,ace+hood,ace-hood
"JaneDear Girls, The",The JaneDear Girls,the_janedear_girls,the+janedear+girls,the-janedear-girls
Mann,Mann,mann,mann,mann
Ronnie Dunn,Ronnie Dunn,ronnie_dunn,ronnie+dunn,ronnie-dunn
"Game, The",The Game,the_game,the+game,the-game
Fabolous,Fabolous,fabolous,fabolous,fabolous
"Black Keys, The",The Black Keys,the_black_keys,the+black+keys,the-black-keys
Birdman,Birdman,birdman,birdman,birdman
Blink-182,Blink-182,blink-182,blink-182,blink-182
Young the Giant,Young the Giant,young_the_giant,young+the+giant,young-the-giant
Shania Twain,Shania Twain,shania_twain,shania+twain,shania-twain
Foo Fighters,Foo Fighters,foo_fighters,foo+fighters,foo-fighters
Evanescence,Evanescence,evanescence,evanescence,evanescence
Vicci Martinez,Vicci Martinez,vicci_martinez,vicci+martinez,vicci-martinez
Grouplove,Grouplove,grouplove,grouplove,grouplove
Sara Ramirez,Sara Ramirez,sara_ramirez,sara+ramirez,sara-ramirez
Twista,Twista,twista,twista,twista
Sunny Sweeney,Sunny Sweeney,sunny_sweeney,sunny+sweeney,sunny-sweeney
Seether,Seether,seether,seether,seether
Mindless Behavior,Mindless Behavior,mindless_behavior,mindless+behavior,mindless-behavior
Reeve Carney,Reeve Carney,reeve_carney,reeve+carney,reeve-carney
Travis Porter,Travis Porter,travis_porter,travis+porter,travis-porter
Jana Kramer,Jana Kramer,jana_kramer,jana+kramer,jana-kramer
Troop 41,Troop 41,troop_41,troop+41,troop-41
Five Finger Death Punch,Five Finger Death Punch,five_finger_death_punch,five+finger+death+punch,five-finger-death-punch
Gorilla Zoe,Gorilla Zoe,gorilla_zoe,gorilla+zoe,gorilla-zoe
Steve Holy,Steve Holy,steve_holy,steve+holy,steve-holy
Cage The Elephant,Cage The Elephant,cage_the_elephant,cage+the+elephant,cage-the-elephant
Garrett Hedlund,Garrett Hedlund,garrett_hedlund,garrett+hedlund,garrett-hedlund
Gwyneth Paltrow,Gwyneth Paltrow,gwyneth_paltrow,gwyneth+paltrow,gwyneth-paltrow
3 Doors Down,3 Doors Down,3_doors_down,3+doors+down,3-doors-down
AWOLNATION,AWOLNATION,awolnation,awolnation,awolnation
Don Omar,Don Omar,don_omar,don+omar,don-omar
Frank Ocean,Frank Ocean,frank_ocean,frank+ocean,frank-ocean
Faith Hill,Faith Hill,faith_hill,faith+hill,faith-hill
Jordin Sparks,Jordin Sparks,jordin_sparks,jordin+sparks,jordin-sparks
Craig Campbell,Craig Campbell,craig_campbell,craig+campbell,craig-campbell
Romeo Santos,Romeo Santos,romeo_santos,romeo+santos,romeo-santos
Chris Medina,Chris Medina,chris_medina,chris+medina,chris-medina
Sean Paul,Sean Paul,sean_paul,sean+paul,sean-paul
Kirk Franklin,Kirk Franklin,kirk_franklin,kirk+franklin,kirk-franklin
B.o.B,B.o.B,b.o.b,b.o.b,b.o.b
Tyga,Tyga,tyga,tyga,tyga
Bella Thorne,Bella Thorne,bella_thorne,bella+thorne,bella-thorne
China Anne McClain,China Anne McClain,china_anne_mcclain,china+anne+mcclain,china-anne-mcclain
Josh Kelley,Josh Kelley,josh_kelley,josh+kelley,josh-kelley
Aaron Lewis,Aaron Lewis,aaron_lewis,aaron+lewis,aaron-lewis
50 Cent,50 Cent,50_cent,50+cent,50-cent
JoJo,JoJo,jojo,jojo,jojo
Mat Kearney,Mat Kearney,mat_kearney,mat+kearney,mat-kearney
Tony Bennett,Tony Bennett,tony_bennett,tony+bennett,tony-bennett
Duck Sauce,Duck Sauce,duck_sauce,duck+sauce,duck-sauce
Panic At The Disco,Panic At The Disco,panic_at_the_disco,panic+at+the+disco,panic-at-the-disco
Rise Against,Rise Against,rise_against,rise+against,rise-against
Casey Weston,Casey Weston,casey_weston,casey+weston,casey-weston
Joe Jonas,Joe Jonas,joe_jonas,joe+jonas,joe-jonas
Xenia,Xenia,xenia,xenia,xenia
R. Kelly,R. Kelly,r._kelly,r.+kelly,r.-kelly
Mary Mary,Mary Mary,mary_mary,mary+mary,mary-mary
James Blunt,James Blunt,james_blunt,james+blunt,james-blunt
Kaskade,Kaskade,kaskade,kaskade,kaskade
DJ Drama,DJ Drama,dj_drama,dj+drama,dj-drama
Ashton Shepherd,Ashton Shepherd,ashton_shepherd,ashton+shepherd,ashton-shepherd
Rej3ctz,Rej3ctz,rej3ctz,rej3ctz,rej3ctz
Jill Scott,Jill Scott,jill_scott,jill+scott,jill-scott
