Rihanna &amp; Kanye West &amp; Paul McCartney ,Rihanna ,Kanye West ,Paul McCartney ,,,FourFiveSeconds,9,13,16,26,36,45,56,66,75,76,,,,,
Chris Janson ,Chris Janson ,,,,,Buy Me A Boat,,,,,,,,,92,81,67,62,64,58,54
J. Cole ,J. Cole ,,,,,Wet Dreamz,,,,91,88,82,85,76,70,69,68,61,61,68,69
Dierks Bentley ,Dierks Bentley ,,,,,Say You Do,57,57,58,52,54,66,80,,,,,,,,
Iggy Azalea Featuring Jennifer Hudson ,Iggy Azalea ,Jennifer Hudson ,,,,Trouble,73,84,83,98,,,,,,,,,,,
The Weeknd ,The Weeknd ,,,,,The Hills,,,,,,,,,20,21,23,22,23,19,12
Zac Brown Band ,Zac Brown Band ,,,,,Loving You Easy,,,,,,,,,90,75,71,63,62,61,58
Sawyer Fredericks ,Sawyer Fredericks ,,,,,Iris,,,,100,,,,,,,,,,,
Charlie Puth Featuring Meghan Trainor ,Charlie Puth ,Meghan Trainor ,,,,Marvin Gaye,,,,,,,,,,,,87,79,72,61
Big Sean Featuring Chris Brown &amp; Ty Dolla $ign ,Big Sean ,Chris Brown ,Ty Dolla $ign ,,,Play No Games,,,,,,,,,,,,,,84,
Maroon 5 ,Maroon 5 ,,,,,Animals,47,,,,,,,,,,,,,,
Rihanna ,Rihanna ,,,,,B**** Better Have My Money,19,21,17,22,22,23,25,24,26,24,26,28,28,15,22
Florida Georgia Line ,Florida Georgia Line ,,,,,Sippin On Fire,76,59,53,44,45,40,40,49,44,44,49,60,68,77,85
Usher Featuring Juicy J ,Usher ,Juicy J ,,,,I Dont Mind,31,37,47,48,,,,,,,,,,,
Ed Sheeran ,Ed Sheeran ,,,,,Thinking Out Loud,5,5,7,8,10,9,10,16,22,20,21,20,22,24,26
Pitbull Featuring Chris Brown ,Pitbull ,Chris Brown ,,,,Fun,,,,,,,77,54,53,50,47,44,40,40,42
Thomas Rhett ,Thomas Rhett ,,,,,Crash And Burn,,96,,,,,,91,76,67,61,57,57,53,51
Ariana Grande ,Ariana Grande ,,,,,One Last Time,16,15,13,14,19,19,24,40,46,51,52,59,63,,
Sawyer Fredericks ,Sawyer Fredericks ,,,,,Shine On,,,,,,99,,,,,,,,,
Brantley Gilbert ,Brantley Gilbert ,,,,,One Hell Of An Amen,,,,,97,85,90,77,69,70,69,64,60,60,57
Wiz Khalifa &amp; Iggy Azalea ,Wiz Khalifa ,Iggy Azalea ,,,,Go Hard Or Go Home,,86,,,,,,,,,,,,,
