artist_name	id
Atoms for Peace	170658492
Atwater & Donnelly	17089788
Au Revoir Simone	111093951
Federico Aubele	15113782
Jon Auer	15293033
Dan Auerbach	102424474
Jeff Aug	112555135
Augie March	16783927
Augustana	15399847
Aura Noir	137028777
Auryn Quartet	102343547
Austin TV	89234673
Patti Austin	15396384
Austra	134762442
Author & Punisher	186246233
Autopsy	187033251
The Avalanches	120188430
Mickey Avalon	15713594
Dawn Avery	98903529
The Avett Brothers	15193939
Avey Tare	130512466
Avi Buffalo	126230173
Zee Avi	105115977
Asaf Avidan	283953877
David Axelrod	17094281
Roy Ayers	92340376
Albert Ayler	15404711
Eva Ayllon	103169170
Azeem	16269982
Kinan Azmeh	101548782
The B-52's	15784835
Milton Babbitt	15399655
Baby Dee	17940652
Babyface	15194292
Babyshambles	16354600
Susana Baca	15194813
Johann Sebastian Bach	15031897
Bach, P.D.Q. [pseudonym of Peter Schickele]	17003776
Wilhelm Friedemann Bach	97462270
Burt Bacharach	15198782
Bachelorette	105197020
Daniel Bachman	162593609
Eric Bachmann	15328218
Maria Bachmann	17310722
Back Door Slam	18384560
The Bacon Brothers	103417713
Bad Bad Hats	417720403
Bad Brains	15397821
The Bad Plus	15182358
Badly Drawn Boy	16264176
Erykah Badu	36898288
Joan Baez	15199189
Issa Bagayogo	15403867
Bahamadia	129859092
Bahamas	147194092
Derek Bailey	16334586
Mildred Bailey	15200761
Philip Bailey	15607452
Zuill Bailey	127374022
Meg Baird	128065995
Bajofondo	93696530
Chet Baker	15395192
David Baker	145453840
Etta Baker	15404473
Ginger Baker	16250779
Janet Baker	15749472
Julien Baker	423486797
Balfa Toujours	111342872
Eszter Balint	16269985
Balkan Beat Box	15183729
Marcia Ball	89718908
Alison Balsom	15329394
Balthrop, Alabama	126976407
Baltimore Consort	98038753
Baltimore Symphony	15643023
The Bamboos	15129068
The Band of Heathens	99338940
Band of Horses	15040950
The Band	15184415
La Banda el Recodo de Cruz Lizárraga	15284313
Ramon Banda	104604600
Bandit	381938723
Bang On A Can	96329278
Bangles	140437800
Devendra Banhart	15205132
David Banner	16117462
Cyro Baptista	15401777
Patricia Barber	15398364
Samuel Barber	15219563
Gato Barbieri	15219632
Bobby Bare, Jr.	15219658
Barenaked Ladies	14987984
Daniel Barenboim	98140421
Bark Psychosis	93306009
George Barnes	129159211
Courtney Barnett	239210251
Richard Barone	15155579
Baroness	121639175
Mario Barreiros	16527399
Ray Barretto	15180302
Kenny Barron	16114983
Louis and Bebe Barron	89805786
Manuel Barrueco	15192256
Sam Bartlett	16158908
Bela Bartok	15228868
Cecilia Bartoli	15221692
Eileen Barton	16523822
Nik Bartsch	15182386
Gary Bartz	106821733
Julianna Barwick	134709734
Eef Barzelay	15055709
Barzin	15395306
The Baseball Project	96003906
Basement Jaxx	15223163
Kishi Bashi	151688970
Count Basie	15404118
William Basinski	163552901
Blick Bassy	111673963
Bastille Opera Orchestra and Chorus	128247323
Waldemar Bastos	15403538
Bat for Lashes	14870657
Chris Bathgate	18109564
Batillus	134959801
Jon Batiste	208638149
Jonathan Batiste	91420634
The Bats	106923748
Battles	15373130
Riley Baugus	15759062
Bauhaus	87890510
Bavarian State Opera	89926949
Rayland Baxter	203669932
Isabel Bayrakdarian	129002424
Eric Bazilian	111672103
The Be Good Tanyas	15226927
Be Your Own Pet	90994849
The Beach Boys	15394818
Beach House	15395451
Beach Slang	398518006
BEAK>	129602970
Bear in Heaven	130102011
Beast	105519456
Beastie Boys	15361878
Beat Happening	112508564
The Beatles	15229570
The Beau Brummels	15403611
Beauty Pill	401971820
Beaux Arts Trio	16038598
Bebe	15401734
Becca Stevens	140758583
Sidney Bechet	15394787
Beck	15333650
Howie Beck	106465368
Jeff Beck	125420196
Jeff Beck	125562272
Bedhead	94559943
Thomas Beecham	103285057
Marie Beer	17087045
Beethoven's Wig	15404627
Ludwig van Beethoven	15232481
Begushkin	99011029
Hildegard Behrens	112031334
Bix Beiderbecke	15235905
Beirut	15148770
Daniel Bejar	15634468
Harry Belafonte	141243619
Bob Belden	15236252
Adrian Belew	16124684
Robert Belfour	17087073
Bell Biv DeVoe	15713284
Bell X1	21305288
Joshua Bell	15003841
Belle & Sebastian	15394834
Regina Belle	90372753
Belleruche	130047195
The Belleville Outfit	104476295
Vincenzo Bellini	90496242
Louie Bellson	100790630
Bembeya Jazz National	17249976
Ben Gibbard	15163856
Ben Sollee	17203897
Ben Waters	89450113
Nicola Benedetti	180825528
Tex Beneke	15198372
Eric Benet	15198757
Marco Benevento	15863097
Jay Bennett	15328812
Martyn Bennett	16216720
Tony Bennett	15200004
Bennie K	15686380
Han Bennink	150722154
Benny Sings	15120689
Benoit & Sergio	162812932
Tab Benoit	15219729
Brendan Benson	17083016
George Benson	15180484
Renaldo Benson	15599145
Pierre Bensusan	17084456
Dierks Bentley	92287092
Alban Berg	91577790
Marilyn & Alan Bergman	17931000
Bunny Berigan	17087801
Laurie Berkner	15396937
Berlin Philharmonic Orchestra	16354188
Irving Berlin	15744000
Hector Berlioz	91363658
Dan Bern	15223229
Elmer Bernstein	15715496
Leonard Bernstein	15234027
Peter Bernstein	91473408
Steven Bernstein	15235981
Steve Berrios	104604603
Chu Berry	15679367
Chuck Berry	15131582
Bersuit	15401738
Beru	132313438
The Besnard Lakes	16000631
Best Coast	124832455
Pete Best	97463737
Bethany & Rufus	15239089
Better People	95802207
Keter Betts	15237279
Beulah	15285051
Yann Beuron	128391581
The Bevis Frond	15786409
Bexar Bexar	17088342
Andy Bey	15285705
Beyonce	19230778
Kristian Bezuidenhout	16320478
Debashish Bhattacharya	16248567
Asha Bhosle	15052448
Jim Bianco	88100302
Eric Bibb	88768358
Biffy Clyro	422872433
Big Boi	89500958
Big Country	96707632
Big Head Todd & the Monsters	87997316
